Test,Test Type,SegmentName,ComponentTestName,CAT,Student SSID,AlternateSSID,Student Name
(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,,119990002,A119990002,StudentF
(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,TRUE,119990002,A119990002,StudentF
(SBAC_PT)SBAC-IRP-ELA-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S1-COMBINED-ELA-3-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,,39990001,A39990001,StudentA
(SBAC_PT)SBAC-IRP-ELA-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S2-COMBINED-ELA-3-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,,39990001,A39990001,StudentA
(SBAC_PT)SBAC-IRP-ELA-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-ELA-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,TRUE,39990001,A39990001,StudentA
(SBAC_PT)SBAC-IRP-ELA-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S1-COMBINED-ELA-7-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,,79990001,A79990001,StudentC
(SBAC_PT)SBAC-IRP-ELA-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S2-COMBINED-ELA-7-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,,79990001,A79990001,StudentC
(SBAC_PT)SBAC-IRP-ELA-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-ELA-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,TRUE,79990001,A79990001,StudentC
(SBAC_PT)SBAC-IRP-ELA-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S1-COMBINED-ELA-11-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,,119990001,A119990001,StudentE
(SBAC_PT)SBAC-IRP-ELA-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-S2-COMBINED-ELA-11-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,,119990001,A119990001,StudentE
(SBAC_PT)SBAC-IRP-ELA-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-ELA-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,TRUE,119990001,A119990001,StudentE
(SBAC_PT)SBAC-IRP-MATH-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-COMBINED-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,,39990002,A39990002,StudentB
(SBAC_PT)SBAC-IRP-MATH-3-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,TRUE,39990002,A39990002,StudentB
(SBAC_PT)SBAC-IRP-MATH-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-COMBINED-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,,79990002,A79990002,StudentD
(SBAC_PT)SBAC-IRP-MATH-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-Calc-COMBINED-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,TRUE,79990002,A79990002,StudentD
(SBAC_PT)SBAC-IRP-MATH-7-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-NoCalc-COMBINED-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,TRUE,79990002,A79990002,StudentD
(SBAC_PT)SBAC-IRP-MATH-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-Perf-COMBINED-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-11-Summer-2015-2016,,119990002,A119990002,StudentF
(SBAC_PT)SBAC-IRP-MATH-11-COMBINED-Summer-2015-2016,Combined,(SBAC_PT)SBAC-IRP-CAT-COMBINED-MATH-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-11-Summer-2015-2016,TRUE,119990002,A119990002,StudentF
